CASEID,PARTID,VARIATIONID,TIME,POSX,POSY,POSZ,POSPHI,POSTHETA,POSPSI,VX,VY,VZ,AX,AY,AZ,MUE,REC
1,1,0,0,-15.6094,-34.2047,0.6003,0,0,1.1002,12.5249,0,0,0,0,0,0.8518,1
1,1,0,0.01,-15.5526,-34.0931,0.6003,0,0,1.1002,12.516,0,0,-1.2124,-0.0006,0,0.8518,1
1,1,0,0.02,-15.4959,-33.9817,0.6003,0,0.0001,1.1002,12.5011,0,0,-1.9237,-0.0018,-0.0002,0.8518,1
1,1,0,0.03,-15.4393,-33.8703,0.6003,0,0.0002,1.1002,12.4801,0,0,-2.1338,-0.0036,-0.0005,0.8518,1
1,1,0,0.04,-15.3828,-33.7593,0.6003,0,0.0005,1.1002,12.4587,-0.0001,0,-2.139,-0.0052,-0.001,0.8518,1
1,1,0,0.05,-15.3264,-33.6484,0.6003,0,0.0007,1.1002,12.4372,-0.0001,0,-2.1421,-0.0066,-0.0017,0.8518,1
1,1,0,0.06,-15.27,-33.5376,0.6003,0,0.0011,1.1002,12.4158,-0.0002,0,-2.1431,-0.0078,-0.0024,0.8518,1
1,1,0,0.07,-15.2138,-33.4272,0.6003,0,0.0015,1.1002,12.3944,-0.0003,0,-2.1439,-0.0088,-0.0033,0.8518,1
1,1,0,0.08,-15.1577,-33.3168,0.6003,0,0.0019,1.1002,12.3729,-0.0003,0,-2.1447,-0.0097,-0.0044,0.8518,1
1,1,0,0.09,-15.1016,-33.2066,0.6003,0,0.0024,1.1002,12.3514,-0.0004,0,-2.1455,-0.0105,-0.0055,0.8518,1
1,1,0,0.1,-15.0457,-33.0968,0.6003,0,0.0029,1.1002,12.33,-0.0004,0,-2.1462,-0.0112,-0.0067,0.8518,1
1,1,0,0.11,-14.9899,-32.987,0.6003,0,0.0034,1.1002,12.3085,-0.0005,0,-2.1469,-0.0119,-0.008,0.8518,1
1,1,0,0.12,-14.9341,-32.8774,0.6003,0,0.0039,1.1002,12.287,-0.0005,0,-2.1476,-0.0125,-0.0093,0.8518,1
1,1,0,0.13,-14.8785,-32.7681,0.6003,0,0.0045,1.1002,12.2655,-0.0006,0,-2.1483,-0.0131,-0.0107,0.8518,1
1,1,0,0.14,-14.823,-32.6589,0.6003,-0.0001,0.0051,1.1002,12.2439,-0.0006,-0.0001,-2.1489,-0.0136,-0.0121,0.8518,1
1,1,0,0.15,-14.7675,-32.5499,0.6003,-0.0001,0.0057,1.1002,12.2224,-0.0007,-0.0001,-2.1495,-0.0142,-0.0135,0.8518,1
1,1,0,0.16,-14.7122,-32.4411,0.6003,-0.0001,0.0062,1.1002,12.2009,-0.0007,-0.0001,-2.1501,-0.0147,-0.0149,0.8518,1
1,1,0,0.17,-14.6569,-32.3325,0.6003,-0.0001,0.0068,1.1001,12.1793,-0.0007,-0.0001,-2.1506,-0.0151,-0.0163,0.8518,1
1,1,0,0.18,-14.6017,-32.2241,0.6002,-0.0001,0.0074,1.1001,12.1578,-0.0008,-0.0001,-2.1512,-0.0156,-0.0176,0.8518,1
1,1,0,0.19,-14.5467,-32.1159,0.6002,-0.0001,0.008,1.1001,12.1362,-0.0008,-0.0001,-2.1516,-0.016,-0.0189,0.8518,1
1,1,0,0.2,-14.4917,-32.0079,0.6002,-0.0001,0.0085,1.1001,12.1146,-0.0008,-0.0001,-2.1521,-0.0165,-0.0202,0.8518,1
1,1,0,0.21,-14.4368,-31.9,0.6002,-0.0001,0.0091,1.1001,12.093,-0.0008,-0.0002,-2.1525,-0.0169,-0.0214,0.8518,1
1,1,0,0.22,-14.382,-31.7924,0.6002,-0.0001,0.0096,1.1001,12.0714,-0.0008,-0.0002,-2.1529,-0.0173,-0.0225,0.8518,1
1,1,0,0.23,-14.3273,-31.685,0.6002,-0.0001,0.0101,1.1001,12.0499,-0.0008,-0.0002,-2.1532,-0.0177,-0.0236,0.8518,1
1,1,0,0.24,-14.2727,-31.5777,0.6002,-0.0002,0.0106,1.1001,12.0283,-0.0008,-0.0002,-2.1535,-0.0181,-0.0246,0.8518,1
1,1,0,0.25,-14.2183,-31.4707,0.6002,-0.0002,0.011,1.1,12.0067,-0.0008,-0.0002,-2.1538,-0.0184,-0.0255,0.8518,1
1,1,0,0.26,-14.1639,-31.3638,0.6002,-0.0002,0.0115,1.1,11.9851,-0.0008,-0.0003,-2.1541,-0.0188,-0.0263,0.8518,1
