CASEID,PARTID,VARIATIONID,TIME,POSX,POSY,POSZ,POSPHI,POSTHETA,POSPSI,VX,VY,VZ,AX,AY,AZ,MUE,REC
1,1,0,0,-82.3043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.001,-82.2876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.002,-82.2709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.003,-82.2543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.004,-82.2376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.005,-82.2209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.006,-82.2043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.007,-82.1876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.008,-82.1709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.009,-82.1543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.01,-82.1376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.011,-82.1209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.012,-82.1043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.013,-82.0876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.014,-82.0709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.015,-82.0543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.016,-82.0376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.017,-82.0209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.018,-82.0043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.019,-81.9876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.02,-81.9709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.021,-81.9543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.022,-81.9376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.023,-81.9209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.024,-81.9043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.025,-81.8876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.026,-81.8709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.027,-81.8543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.028,-81.8376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.029,-81.8209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.03,-81.8043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.031,-81.7876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.032,-81.7709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.033,-81.7543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.034,-81.7376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.035,-81.7209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.036,-81.7043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.037,-81.6876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.038,-81.6709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.039,-81.6543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.04,-81.6376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.041,-81.6209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.042,-81.6043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.043,-81.5876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.044,-81.5709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.045,-81.5543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.046,-81.5376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.047,-81.5209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.048,-81.5043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.049,-81.4876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.05,-81.4709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.051,-81.4543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.052,-81.4376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.053,-81.4209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.054,-81.4043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.055,-81.3876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.056,-81.3709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.057,-81.3543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.058,-81.3376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.059,-81.3209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.06,-81.3043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.061,-81.2876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.062,-81.2709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.063,-81.2543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.064,-81.2376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.065,-81.2209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.066,-81.2043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.067,-81.1876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.068,-81.1709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.069,-81.1543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.07,-81.1376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.071,-81.1209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.072,-81.1043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.073,-81.0876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.074,-81.0709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.075,-81.0543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.076,-81.0376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.077,-81.0209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.078,-81.0043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.079,-80.9876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.08,-80.9709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.081,-80.9543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.082,-80.9376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.083,-80.9209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.084,-80.9043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.085,-80.8876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.086,-80.8709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.087,-80.8543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.088,-80.8376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.089,-80.8209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.09,-80.8043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.091,-80.7876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.092,-80.7709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.093,-80.7543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.094,-80.7376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.095,-80.7209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.096,-80.7043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.097,-80.6876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.098,-80.6709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.099,-80.6543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.1,-80.6376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.101,-80.6209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.102,-80.6043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.103,-80.5876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.104,-80.5709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.105,-80.5543,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.106,-80.5376,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.107,-80.5209,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.108,-80.5043,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.109,-80.4876,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
1,1,0,0.11,-80.4709,0,0.714,0,0,0,16.66666667,0,0,0,0,0,0.92,1
